iter	Passed	Remaining
0	94	94604
1	96	48198
2	98	32737
3	100	24979
4	103	20534
5	105	17496
6	108	15357
7	111	13764
8	114	12560
9	116	11568
10	119	10738
11	123	10186
12	132	10042
13	138	9737
14	147	9711
15	151	9302
16	153	8893
17	156	8516
18	159	8216
19	162	7971
20	165	7725
21	169	7513
22	170	7261
23	173	7050
24	175	6835
25	180	6776
26	185	6689
27	190	6618
28	193	6488
29	195	6335
30	198	6199
31	203	6154
32	206	6052
33	208	5928
34	210	5805
35	212	5688
36	214	5573
37	218	5536
38	221	5452
39	223	5369
40	225	5280
41	227	5194
42	229	5111
43	232	5059
44	235	4992
45	238	4948
46	241	4887
47	243	4827
48	245	4762
49	247	4698
50	249	4644
51	252	4604
52	254	4549
53	256	4495
54	258	4440
55	260	4387
56	262	4338
57	263	4285
58	265	4236
59	267	4183
60	268	4132
61	270	4091
62	272	4047
63	274	4011
64	275	3967
65	277	3926
66	279	3897
67	281	3860
68	283	3820
69	284	3782
70	286	3746
71	288	3713
72	289	3681
73	291	3647
74	293	3614
75	294	3580
76	295	3547
77	297	3513
78	298	3484
79	300	3455
80	302	3427
81	303	3400
82	304	3364
83	306	3340
84	308	3322
85	310	3297
86	311	3273
87	313	3249
88	315	3226
89	316	3201
90	318	3176
91	319	3155
92	321	3133
93	322	3109
94	324	3087
95	326	3071
96	327	3053
97	329	3033
98	330	3012
99	332	2992
100	334	2977
101	336	2959
102	337	2940
103	339	2923
104	340	2906
105	342	2888
106	345	2884
107	348	2875
108	349	2859
109	351	2843
110	352	2825
111	354	2809
112	355	2791
113	357	2775
114	359	2764
115	361	2753
116	362	2736
117	364	2725
118	367	2719
119	369	2706
120	370	2693
121	372	2681
122	374	2669
123	375	2655
124	380	2665
125	384	2664
126	386	2654
127	387	2641
128	391	2644
129	393	2633
130	395	2623
131	397	2613
132	399	2601
133	401	2596
134	405	2595
135	407	2589
136	409	2579
137	411	2569
138	413	2559
139	415	2551
140	417	2546
141	419	2536
142	422	2531
143	424	2522
144	426	2512
145	428	2504
146	432	2511
147	434	2503
148	436	2495
149	439	2490
150	441	2482
151	443	2475
152	446	2473
153	451	2481
154	455	2481
155	457	2477
156	460	2470
157	462	2464
158	465	2463
159	467	2455
160	468	2443
161	471	2437
162	473	2429
163	476	2426
164	478	2420
165	480	2412
166	481	2403
167	483	2394
168	485	2385
169	486	2376
170	488	2369
171	490	2363
172	493	2357
173	495	2351
174	497	2347
175	499	2339
176	501	2331
177	503	2326
178	505	2320
179	508	2314
180	510	2309
181	512	2302
182	516	2303
183	519	2302
184	521	2297
185	523	2291
186	525	2284
187	528	2282
188	530	2275
189	531	2267
190	536	2271
191	541	2278
192	543	2273
193	546	2269
194	548	2264
195	552	2267
196	554	2260
197	559	2267
198	562	2263
199	564	2257
200	567	2255
201	569	2248
202	572	2248
203	576	2250
204	578	2244
205	581	2240
206	583	2235
207	585	2229
208	587	2222
209	590	2221
210	592	2214
211	594	2207
212	596	2203
213	601	2208
214	603	2202
215	605	2197
216	607	2191
217	609	2187
218	611	2181
219	614	2177
220	615	2171
221	618	2166
222	619	2159
223	621	2151
224	622	2144
225	624	2139
226	626	2132
227	628	2128
228	631	2124
229	632	2118
230	635	2114
231	637	2108
232	638	2102
233	640	2096
234	641	2089
235	643	2083
236	645	2078
237	647	2074
238	650	2070
239	653	2068
240	654	2062
241	656	2056
242	658	2050
243	659	2044
244	662	2041
245	664	2037
246	666	2032
247	668	2028
248	670	2022
249	672	2017
250	674	2011
251	675	2006
252	677	2000
253	679	1995
254	681	1990
255	682	1983
256	685	1981
257	687	1978
258	689	1973
259	691	1969
260	693	1963
261	694	1957
262	696	1952
263	698	1947
264	700	1942
265	702	1939
266	706	1939
267	708	1934
268	710	1930
269	712	1925
270	713	1920
271	715	1915
272	717	1909
273	719	1906
274	721	1902
275	725	1903
276	727	1899
277	729	1895
278	731	1890
279	733	1885
280	735	1881
281	737	1876
282	738	1871
283	740	1867
284	742	1863
285	744	1859
286	747	1856
287	748	1851
288	750	1846
289	751	1840
290	753	1835
291	754	1830
292	756	1825
293	757	1819
294	759	1815
295	761	1811
296	763	1806
297	765	1802
298	766	1797
299	768	1792
300	769	1787
301	770	1781
302	772	1776
303	774	1773
304	775	1767
305	777	1764
306	779	1760
307	782	1757
308	784	1753
309	785	1748
310	787	1743
311	788	1738
312	789	1733
313	791	1728
314	792	1723
315	794	1719
316	797	1719
317	800	1717
318	802	1713
319	804	1709
320	806	1704
321	807	1700
322	808	1695
323	810	1691
324	812	1686
325	813	1682
326	815	1679
327	818	1676
328	820	1672
329	821	1668
330	823	1664
331	825	1660
332	826	1656
333	828	1651
334	829	1647
335	830	1642
336	832	1638
337	835	1635
338	837	1632
339	838	1628
340	840	1625
341	842	1620
342	843	1616
343	845	1612
344	847	1609
345	849	1606
346	853	1606
347	857	1606
348	859	1603
349	861	1599
350	863	1596
351	866	1594
352	868	1591
353	870	1588
354	873	1586
355	876	1585
356	878	1581
357	879	1577
358	881	1573
359	882	1569
360	884	1565
361	886	1562
362	887	1557
363	889	1554
364	891	1550
365	893	1547
366	895	1543
367	896	1540
368	898	1536
369	899	1532
370	901	1528
371	902	1523
372	904	1520
373	906	1517
374	909	1515
375	911	1513
376	913	1509
377	914	1505
378	916	1501
379	918	1498
380	919	1494
381	921	1491
382	924	1489
383	928	1490
384	930	1486
385	932	1483
386	934	1480
387	936	1477
388	938	1473
389	939	1470
390	941	1466
391	943	1463
392	950	1467
393	952	1465
394	955	1463
395	957	1460
396	960	1458
397	962	1455
398	964	1452
399	967	1450
400	969	1448
401	972	1446
402	974	1443
403	976	1440
404	978	1437
405	979	1433
406	981	1430
407	983	1427
408	986	1424
409	988	1421
410	990	1418
411	992	1416
412	994	1413
413	995	1409
414	997	1406
415	999	1403
416	1001	1399
417	1003	1396
418	1005	1394
419	1007	1390
420	1009	1388
421	1011	1385
422	1013	1382
423	1015	1379
424	1018	1377
425	1019	1374
426	1023	1373
427	1026	1372
428	1029	1370
429	1031	1367
430	1033	1364
431	1039	1366
432	1040	1363
433	1044	1362
434	1048	1361
435	1050	1359
436	1052	1356
437	1055	1353
438	1056	1350
439	1058	1347
